timestamp,equity,cash,position_qty,close
2024-01-01T02:00:00Z,10000.00000000,10000.00000000,0.0000000000,42581.10000000
2024-01-01T03:00:00Z,10000.00000000,10000.00000000,0.0000000000,42330.49000000
2024-01-01T04:00:00Z,10000.00000000,10000.00000000,0.0000000000,42399.99000000
2024-01-01T05:00:00Z,10000.00000000,10000.00000000,0.0000000000,42234.01000000
2024-01-01T06:00:00Z,10000.00000000,10000.00000000,0.0000000000,42396.69000000
2024-01-01T07:00:00Z,10000.00000000,10000.00000000,0.0000000000,42492.46000000
2024-01-01T08:00:00Z,10000.00000000,10000.00000000,0.0000000000,42549.99000000
2024-01-01T09:00:00Z,10000.00000000,10000.00000000,0.0000000000,42649.69000000
2024-01-01T10:00:00Z,10000.00000000,10000.00000000,0.0000000000,42691.10000000
2024-01-01T11:00:00Z,10000.00000000,10000.00000000,0.0000000000,42690.20000000
2024-01-01T12:00:00Z,10000.00000000,10000.00000000,0.0000000000,42648.38000000
2024-01-01T13:00:00Z,10000.00000000,10000.00000000,0.0000000000,42715.54000000
2024-01-01T14:00:00Z,10000.00000000,10000.00000000,0.0000000000,42612.24000000
2024-01-01T15:00:00Z,10000.00000000,10000.00000000,0.0000000000,42783.05000000
2024-01-01T16:00:00Z,10000.00000000,10000.00000000,0.0000000000,42725.15000000
2024-01-01T17:00:00Z,10000.00000000,10000.00000000,0.0000000000,42812.70000000
2024-01-01T18:00:00Z,10000.00000000,10000.00000000,0.0000000000,43111.10000000
2024-01-01T19:00:00Z,10000.00000000,10000.00000000,0.0000000000,43517.99000000
2024-01-01T20:00:00Z,10000.00000000,10000.00000000,0.0000000000,43687.86000000
2024-01-01T21:00:00Z,10000.00000000,10000.00000000,0.0000000000,43619.21000000
2024-01-01T22:00:00Z,10000.00000000,10000.00000000,0.0000000000,43529.93000000
2024-01-01T23:00:00Z,10000.00000000,10000.00000000,0.0000000000,44179.55000000
2024-01-02T00:00:00Z,10000.00000000,10000.00000000,0.0000000000,45056.00000000
2024-01-02T01:00:00Z,10000.00000000,10000.00000000,0.0000000000,44855.96000000
2024-01-02T02:00:00Z,10000.00000000,10000.00000000,0.0000000000,45378.96000000
2024-01-02T03:00:00Z,10000.00000000,10000.00000000,0.0000000000,45402.38000000
2024-01-02T04:00:00Z,10000.00000000,10000.00000000,0.0000000000,45179.80000000
2024-01-02T05:00:00Z,10000.00000000,10000.00000000,0.0000000000,45179.48000000
2024-01-02T06:00:00Z,10000.00000000,10000.00000000,0.0000000000,45168.75000000
2024-01-02T07:00:00Z,10000.00000000,10000.00000000,0.0000000000,45455.53000000
2024-01-02T08:00:00Z,10000.00000000,10000.00000000,0.0000000000,45759.30000000
2024-01-02T09:00:00Z,10000.00000000,10000.00000000,0.0000000000,45673.48000000
2024-01-02T10:00:00Z,10000.00000000,10000.00000000,0.0000000000,45584.99000000
2024-01-02T11:00:00Z,10000.00000000,10000.00000000,0.0000000000,45433.99000000
2024-01-02T12:00:00Z,10000.00000000,10000.00000000,0.0000000000,45301.99000000
2024-01-02T13:00:00Z,10000.00000000,10000.00000000,0.0000000000,45637.93000000
2024-01-02T14:00:00Z,10000.00000000,10000.00000000,0.0000000000,45258.73000000
2024-01-02T15:00:00Z,10000.00000000,10000.00000000,0.0000000000,45184.82000000
2024-01-02T16:00:00Z,10000.00000000,10000.00000000,0.0000000000,45357.84000000
2024-01-02T17:00:00Z,10000.00000000,10000.00000000,0.0000000000,44966.15000000
2024-01-02T18:00:00Z,10000.00000000,10000.00000000,0.0000000000,45154.69000000
2024-01-02T19:00:00Z,10000.00000000,10000.00000000,0.0000000000,45039.49000000
2024-01-02T20:00:00Z,10000.00000000,10000.00000000,0.0000000000,44788.28000000
2024-01-02T21:00:00Z,10000.00000000,10000.00000000,0.0000000000,45119.74000000
2024-01-02T22:00:00Z,10000.00000000,10000.00000000,0.0000000000,44981.73000000
2024-01-02T23:00:00Z,10000.00000000,10000.00000000,0.0000000000,44946.91000000
2024-01-03T00:00:00Z,10000.00000000,10000.00000000,0.0000000000,45135.61000000
2024-01-03T01:00:00Z,10000.00000000,10000.00000000,0.0000000000,45317.58000000
2024-01-03T02:00:00Z,10000.00000000,10000.00000000,0.0000000000,45274.57000000
2024-01-03T03:00:00Z,10000.00000000,10000.00000000,0.0000000000,45262.69000000
2024-01-03T04:00:00Z,10000.00000000,10000.00000000,0.0000000000,45183.45000000
2024-01-03T05:00:00Z,10000.00000000,10000.00000000,0.0000000000,45172.13000000
2024-01-03T06:00:00Z,10000.00000000,10000.00000000,0.0000000000,45326.93000000
2024-01-03T07:00:00Z,10000.00000000,10000.00000000,0.0000000000,45011.77000000
2024-01-03T08:00:00Z,10000.00000000,10000.00000000,0.0000000000,45200.00000000
2024-01-03T09:00:00Z,10000.00000000,10000.00000000,0.0000000000,45344.67000000
2024-01-03T10:00:00Z,10000.00000000,10000.00000000,0.0000000000,45151.91000000
2024-01-03T11:00:00Z,10000.00000000,10000.00000000,0.0000000000,43702.88000000
2024-01-03T12:00:00Z,10000.00000000,10000.00000000,0.0000000000,42789.38000000
2024-01-03T13:00:00Z,10000.00000000,10000.00000000,0.0000000000,42529.40000000
2024-01-03T14:00:00Z,10000.00000000,10000.00000000,0.0000000000,42179.99000000
2024-01-03T15:00:00Z,10000.00000000,10000.00000000,0.0000000000,43000.01000000
2024-01-03T16:00:00Z,10000.00000000,10000.00000000,0.0000000000,42992.67000000
2024-01-03T17:00:00Z,10000.00000000,10000.00000000,0.0000000000,42906.00000000
2024-01-03T18:00:00Z,10000.00000000,10000.00000000,0.0000000000,42255.72000000
2024-01-03T19:00:00Z,10000.00000000,10000.00000000,0.0000000000,42596.67000000
2024-01-03T20:00:00Z,10000.00000000,10000.00000000,0.0000000000,42721.02000000
2024-01-03T21:00:00Z,10000.00000000,10000.00000000,0.0000000000,42917.62000000
2024-01-03T22:00:00Z,10000.00000000,10000.00000000,0.0000000000,42749.68000000
2024-01-03T23:00:00Z,10000.00000000,10000.00000000,0.0000000000,42845.23000000
2024-01-04T00:00:00Z,10000.00000000,10000.00000000,0.0000000000,42874.01000000
2024-01-04T01:00:00Z,10000.00000000,10000.00000000,0.0000000000,42708.01000000
2024-01-04T02:00:00Z,10000.00000000,10000.00000000,0.0000000000,43138.49000000
2024-01-04T03:00:00Z,10000.00000000,10000.00000000,0.0000000000,43102.80000000
2024-01-04T04:00:00Z,10000.00000000,10000.00000000,0.0000000000,43149.99000000
2024-01-04T05:00:00Z,10000.00000000,10000.00000000,0.0000000000,43183.74000000
2024-01-04T06:00:00Z,10000.00000000,10000.00000000,0.0000000000,43155.46000000
2024-01-04T07:00:00Z,10000.00000000,10000.00000000,0.0000000000,42763.08000000
2024-01-04T08:00:00Z,10000.00000000,10000.00000000,0.0000000000,42849.66000000
2024-01-04T09:00:00Z,10000.00000000,10000.00000000,0.0000000000,43007.74000000
2024-01-04T10:00:00Z,10000.00000000,10000.00000000,0.0000000000,43073.26000000
2024-01-04T11:00:00Z,10000.00000000,10000.00000000,0.0000000000,43176.32000000
2024-01-04T12:00:00Z,10000.00000000,10000.00000000,0.0000000000,43378.12000000
2024-01-04T13:00:00Z,10000.00000000,10000.00000000,0.0000000000,43346.68000000
2024-01-04T14:00:00Z,10000.00000000,10000.00000000,0.0000000000,43676.07000000
2024-01-04T15:00:00Z,10000.00000000,10000.00000000,0.0000000000,44051.10000000
2024-01-04T16:00:00Z,10000.00000000,10000.00000000,0.0000000000,43915.71000000
2024-01-04T17:00:00Z,10000.00000000,10000.00000000,0.0000000000,43990.01000000
2024-01-04T18:00:00Z,10000.00000000,10000.00000000,0.0000000000,44048.96000000
2024-01-04T19:00:00Z,10000.00000000,10000.00000000,0.0000000000,43956.48000000
2024-01-04T20:00:00Z,10000.00000000,10000.00000000,0.0000000000,44113.68000000
2024-01-04T21:00:00Z,10000.00000000,10000.00000000,0.0000000000,44430.86000000
2024-01-04T22:00:00Z,9970.61049191,0.00000000,0.2249788008,44318.00000000
2024-01-04T23:00:00Z,9933.06153006,0.00000000,0.2249788008,44151.10000000
2024-01-05T00:00:00Z,9946.56025811,0.00000000,0.2249788008,44211.10000000
2024-01-05T01:00:00Z,9758.68046159,0.00000000,0.2249788008,43376.00000000
2024-01-05T02:00:00Z,9787.92770569,0.00000000,0.2249788008,43506.00000000
2024-01-05T03:00:00Z,9778.75082041,0.00000000,0.2249788008,43465.21000000
2024-01-05T04:00:00Z,9806.79892750,0.00000000,0.2249788008,43589.88000000
2024-01-05T05:00:00Z,9819.00852702,0.00000000,0.2249788008,43644.15000000
2024-01-05T06:00:00Z,9864.15502297,0.00000000,0.2249788008,43844.82000000
2024-01-05T07:00:00Z,9849.00270073,0.00000000,0.2249788008,43777.47000000
2024-01-05T08:00:00Z,9879.14311067,0.00000000,0.2249788008,43911.44000000
2024-01-05T09:00:00Z,9932.18636253,0.00000000,0.2249788008,44147.21000000
2024-01-05T10:00:00Z,9815.41561557,0.00000000,0.2249788008,43628.18000000
2024-01-05T11:00:00Z,9847.62358069,0.00000000,0.2249788008,43771.34000000
