entry_time,exit_time,entry_price,exit_price,qty,fee_paid,pnl_usdt,return_pct,bars_held
2025-03-12T00:00:00Z,2025-03-13T17:00:00Z,82932.99000000,80876.36000000,0.1707646476,11.18913837,-362.38883566,-2.5579,41
2025-03-14T12:00:00Z,2025-03-16T15:00:00Z,83253.15000000,83373.15000000,0.1657568378,11.04777943,8.84304110,0.0641,51
2025-03-17T19:00:00Z,2025-03-18T05:00:00Z,84496.57000000,82989.11000000,0.1634222358,10.94835371,-257.30083722,-1.8626,10
2025-03-19T12:00:00Z,2025-03-21T10:00:00Z,83881.40000000,84137.99000000,0.1615545332,10.85771765,30.59556003,0.2257,46
2025-03-23T12:00:00Z,2025-03-26T23:00:00Z,84680.00000000,86829.48000000,0.1603921085,11.00350685,333.75612262,2.4564,83
2025-03-27T02:00:00Z,2025-03-27T14:00:00Z,87378.88000000,86383.82000000,0.1592561775,11.06911336,-169.53856536,-1.2178,12
2025-03-27T23:00:00Z,2025-03-28T04:00:00Z,87350.70000000,86787.17000000,0.1573674355,10.96145201,-99.64272294,-0.7246,5
2025-04-01T08:00:00Z,2025-04-03T06:00:00Z,83445.50000000,83343.75000000,0.1635385104,10.91058620,-27.55062962,-0.2018,46
2025-04-04T21:00:00Z,2025-04-05T15:00:00Z,84164.02000000,82914.67000000,0.1618151456,10.81434502,-212.97809720,-1.5632,18
2025-04-09T20:00:00Z,2025-04-16T00:00:00Z,82332.08000000,83643.99000000,0.1628298497,10.81034341,202.80776471,1.5122,148
2025-04-17T10:00:00Z,2025-04-20T12:00:00Z,84477.30000000,84129.82000000,0.1610947188,10.86468663,-66.84187951,-0.4910,74
2025-04-21T01:00:00Z,2025-04-27T17:00:00Z,86625.69000000,93881.82000000,0.1563281254,11.28736027,1123.04984060,8.2898,160
2025-04-27T19:00:00Z,2025-04-28T00:00:00Z,94287.28000000,93749.29000000,0.1555313986,11.69823629,-95.37257345,-0.6501,5
2025-04-28T08:00:00Z,2025-04-30T15:00:00Z,94692.49000000,93705.04000000,0.1538590663,11.59466722,-163.52280220,-1.1219,55
2025-05-01T06:00:00Z,2025-05-04T00:00:00Z,95147.97000000,95856.42000000,0.1514046035,11.56757758,95.69501379,0.6640,66
2025-05-07T00:00:00Z,2025-05-12T18:00:00Z,96834.02000000,102556.20000000,0.1497562264,11.94397077,844.98811299,5.8246,138
2025-05-13T18:00:00Z,2025-05-15T02:00:00Z,104268.17000000,103033.51000000,0.1471796012,12.20423144,-193.92099785,-1.2631,32
2025-05-16T02:00:00Z,2025-05-17T10:00:00Z,104047.60000000,102896.59000000,0.1456285798,12.05479539,-179.67474701,-1.1853,32
2025-05-18T08:00:00Z,2025-05-19T10:00:00Z,103919.39000000,103061.62000000,0.1440799577,11.92872606,-135.51619135,-0.9047,26
2025-05-19T17:00:00Z,2025-05-23T22:00:00Z,105356.43000000,108282.89000000,0.1408289869,12.03464360,400.09575354,2.6955,101
2025-05-26T04:00:00Z,2025-05-28T07:00:00Z,109623.54000000,108727.28000000,0.1389954665,12.13990964,-136.71598647,-0.8969,51
2025-06-01T23:00:00Z,2025-06-02T13:00:00Z,105512.17000000,104200.32000000,0.1431163226,12.00531215,-199.75245999,-1.3223,14
2025-06-03T00:00:00Z,2025-06-04T19:00:00Z,105858.00000000,104951.54000000,0.1407625420,11.86963469,-139.46524852,-0.9356,43
2025-06-06T22:00:00Z,2025-06-12T05:00:00Z,104386.29000000,107765.13000000,0.1414115943,12.00026821,465.80688291,3.1543,127
2025-06-16T04:00:00Z,2025-06-17T15:00:00Z,105921.85000000,104847.33000000,0.1437574242,12.11985377,-166.59008121,-1.0936,35
2025-06-20T10:00:00Z,2025-06-20T18:00:00Z,105940.57000000,103279.26000000,0.1421601644,11.89709017,-390.22935734,-2.5900,8
2025-06-23T21:00:00Z,2025-06-30T22:00:00Z,103740.00000000,107130.80000000,0.1414156114,11.92816924,467.58388574,3.1860,169
2025-07-02T14:00:00Z,2025-07-04T17:00:00Z,107768.21000000,107636.99000000,0.1404667708,12.10290914,-30.53495880,-0.2016,51
2025-07-06T16:00:00Z,2025-07-07T19:00:00Z,108906.00000000,108024.53000000,0.1387189843,12.03695311,-134.31357616,-0.8887,27
2025-07-08T14:00:00Z,2025-07-15T07:00:00Z,109034.60000000,117070.54000000,0.1373240222,12.41986690,1091.10773576,7.2842,161
2025-07-16T15:00:00Z,2025-07-17T13:00:00Z,119056.81000000,117867.08000000,0.1349250101,12.78678330,-173.31111559,-1.0785,22
2025-07-17T15:00:00Z,2025-07-18T18:00:00Z,118770.94000000,117600.01000000,0.1337911401,12.64973556,-169.30979525,-1.0651,27
2025-07-21T07:00:00Z,2025-07-21T19:00:00Z,119169.26000000,117162.28000000,0.1319237644,12.47109856,-277.23945518,-1.7628,12
2025-07-22T13:00:00Z,2025-07-23T17:00:00Z,119293.70000000,117712.53000000,0.1294630712,12.27342177,-216.97654601,-1.4044,28
2025-07-24T01:00:00Z,2025-07-24T06:00:00Z,119060.01000000,117604.54000000,0.1278954956,12.10733196,-198.25538892,-1.3015,5
2025-07-24T15:00:00Z,2025-07-25T02:00:00Z,119057.12000000,117359.27000000,0.1262340536,11.93751970,-226.26400756,-1.5049,11
2025-07-26T13:00:00Z,2025-07-28T22:00:00Z,117914.16000000,118106.89000000,0.1255395393,11.85198956,12.34324586,0.0834,57
2025-07-29T07:00:00Z,2025-07-29T16:00:00Z,118764.86000000,117400.02000000,0.1247442016,11.78407976,-182.03995585,-1.2282,9
2025-07-31T07:00:00Z,2025-07-31T20:00:00Z,118691.79000000,116785.78000000,0.1232878910,11.61261319,-246.60056631,-1.6845,13
2025-08-04T02:00:00Z,2025-08-05T15:00:00Z,114671.96000000,113037.12000000,0.1254601256,11.42736391,-216.53459562,-1.5045,37
2025-08-06T16:00:00Z,2025-08-12T12:00:00Z,115413.87000000,118522.22000000,0.1227782284,11.48890347,370.14880263,2.6111,140
2025-08-12T15:00:00Z,2025-08-14T17:00:00Z,119437.12000000,117866.42000000,0.1217403039,11.55576203,-202.77325740,-1.3940,50
2025-08-22T17:00:00Z,2025-08-24T15:00:00Z,116146.48000000,114514.05000000,0.1234442844,11.38948962,-212.90364279,-1.4843,46
2025-08-27T18:00:00Z,2025-08-29T07:00:00Z,112345.30000000,111279.45000000,0.1257266712,11.24623816,-145.25201065,-1.0279,37
2025-09-02T02:00:00Z,2025-09-04T16:00:00Z,109313.00000000,109510.32000000,0.1278860397,11.19377912,14.04069424,0.1004,62
2025-09-05T05:00:00Z,2025-09-06T06:00:00Z,111445.00000000,110714.00000000,0.1255654515,11.15819805,-102.94654308,-0.7354,25
2025-09-07T14:00:00Z,2025-09-10T00:00:00Z,111214.63000000,111546.38000000,0.1249002614,11.12916335,30.30649837,0.2181,58
2025-09-10T09:00:00Z,2025-09-15T04:00:00Z,112370.07000000,115445.46000000,0.1238855750,11.28922317,369.70723545,2.6547,115
2025-09-15T05:00:00Z,2025-09-15T10:00:00Z,116058.01000000,114868.60000000,0.1231331655,11.37388979,-157.82970815,-1.1040,5
2025-09-16T09:00:00Z,2025-09-16T14:00:00Z,115658.76000000,115200.00000000,0.1221941472,11.28383572,-67.34162271,-0.4763,5
